,Motivation
0,"Please remember that you’re capable, brave and loved – even when it feels like you’re not."
1,Do not give the past the power to define your future.
2,Perhaps you’ve been assigned this mountain to show others that it can be moved.
3,"Just a reminder: it is NOT selfish to put your recovery first. Rather, it’s necessary in order to make sure that everything else doesn’t come last."
4,"Small, baby steps each day add up to huge, giant leaps over time. So, please keep going.  Do NOT give up."
5,"You are not worthless, you are not a failure, and you are not a loser. That voice saying you are is just your depression trying to trick you."
6,"On those really difficult days when it seems impossible to go on and you feel like giving up, just remind yourself that you’ve been there before and you’ve survived every time, so you can survive this time, too."
7,Even the darkest hour only has 60 minutes.
8,Perhaps the butterfly is proof that you can go through a great deal of darkness yet become something beautiful again.
9,"Always try to end the day with a positive thought. No matter how hard things are, tomorrow is a fresh opportunity to make everything better."
10,"The World Health Organisation estimates that 350 million people suffer from depression worldwide. We know it may not seem like it, but you are NOT alone."
11,"Don’t hate yourself for everything you aren’t. Instead, love yourself for everything you are. Running away from your problems is a race you’ll never win. Instead, reach out for help and try to confront them."
12,"Don’t let your struggle become your identity. After all, you are so much more than just your illness."
13,"Be proud of who you are, instead of ashamed of how someone else sees you."
14,"Crying doesn’t mean that you’re weak. Since birth, it’s always been a sign that you’re alive. Don’t dwell on those who hold you down. Instead, cherish those who helped you up."
15,"Never, ever, ever, ever, ever give up on yourself. As long as you keep on fighting, then you can beat your depression."
16,"Right now, stop whatever you’re doing and think of all the things in life that you are grateful for. This is a really easy way to lift your mood!"
17,"Even if you can’t see any reason to keep on going, then it doesn’t mean that there aren’t any. It just means that in that moment, your depression is telling you even more lies than usual."
18,Even the worst depressive episodes won’t last forever.
19,"Having depression does not mean you are weak, a failure, or worth less than anybody else. Please, don’t discriminate against yourself."
20,"If you need a confidence booster, then remind yourself of all the difficult things you’ve endured and overcome."
21,Don’t ruin a good day by thinking about the possibility of a bad day in the future. Just enjoy the present moment
22,"As Confucius said, our greatest glory is not in never falling, but in rising every time we do."
23,"When your depression says, “Give up”, hope whispers, “Try one more time”."
24,"If you’re worried about telling a friend that you struggle with depression, then remind yourself that you are one of 350 million people battling this illness. So, odds are that even if you don’t know it, one or more of your friends are fighting depression too but are similarly scared to reach out to you."
25,"You are brave, courageous and strong for continuing to fight an illness that nobody else can see."
26,"One day, if not already, your refusal to give up will inspire someone else."
