,Motivation
0,Anxiety serves no purpose other than stealing today’s joy.
1,Worrying doesn’t empty tomorrow of its sorrows; it empties today of its strengths.
2,Anxiety is like a rocking chair. It gives you something to do but it doesn’t get you very far.
3,Anxiety is experiencing failure and defeat in advance. Don’t waste your time.
4,Don’t believe every worried thought you have. Worried thoughts are notoriously inaccurate.
5,No amount of regret can change the past. No amount of anxiety can change the future.
6,"Our anxiety does not come from thinking about the future, but from wanting to control it."
7,Stop trying to calm the storm. Calm yourself. The storm will pass
8,You must learn to let go. Release the stress. You were never in control anyway
9,Your anxiety is lying to you. You are loved and you are going to be okay.
10,Anxiety is the fear of more fear.
11,When you’re feeling anxious remember that you’re still you. You are not your anxiety
12,The greatest weapon against stress is our ability to choose one thought over another
13,"Stress does more than make you sick it destroys your peace, hope, and dreams."
14,Most things we worry about never happen.
15,"You cannot always control what goes on outside, but you can always control what goes on inside"
16,"If you want to conquer the anxiety of life, live in the moment, live in the breath."
17,"Smile, breathe, and go slowly"
18,"Don’t be pushed by your problems, be led by your dreams"
19,What else does anxiety about the future bring you but sorrow upon sorrow.
20,"If it won’t matter in a year from now, or even a month, it shouldn’t matter now"
21,There is nothing in this world that can trouble you as much as your own thoughts.
22,"You may not control all the events that happen to you, but you can decide not to be reduced by them"
23,"You can do anything, but not everything."
24,"It’s not the stress that kills us, it’s our reaction to it"
25,Note to self: Everything is going to be okay.
26,"If you treat every situation as a life and death matter, you’ll die a lot of times"
27,"You’re only here for a short visit. Don’t hurry, don’t worry. And be sure to smell the flowers along the way."
28,"Do not worry about tomorrow, for tomorrow will worry about itself."
29,Learning to ignore things is one of the great paths to inner peace
30,"Your mind will believe everything you tell it. Feed it love, truth, faith, and hope"
31,"Remember, you survived 100% of your worst days"
32,"The day you stop worrying will be the first day of your new life; anxiety takes you in circles, trust in yourself and become free."
33,Worry is a down payment on a problem you may never have
34,"Stop overthinking. If it’s not meant to be, it’s not meant to be"
35,Difficult roads often lead to beautiful destinations
36,Close your eyes. Clear your heart. Let it go
37,Worrying is like walking around with an umbrella waiting for it to rain
38,"Fear and anxiety many times indicates that we are moving in a positive direction, out of the same confines of our comfort zone, and in the direction of our true purpose."
39,"You don’t have to control your thoughts, you just have to stop letting them control you"
40,There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will.
41,"Trust yourself. You’ve survived a lot, and you’ll survive whatever is coming"
42,Anxiety is nothing but repeatedly experiencing failure in advance. What a waste
43,"Rule number one is don’t sweat the small stuff. Rule number two, it’s all small stuff"
44,"If it’s not going to matter in five years, don’t spend five minutes being upset about it."
45,You can’t calm the storm. So stop trying. What you can do is calm yourself. The storm will pass
46,Breathe. You’re going to be okay. You’ve gotten through so many things in your life. You’ve got this
47,Flowers grow back even after the harshest winters. You will too.
48,Fear thrives in a place of inaction. Overcome your anxiety by taking one small step forward
49,"You don’t have to control your thoughts, you just have to let them stop controlling you"
50,"Remember how far you’ve come, not just how far you have to go. You are not where you want to be, but neither are you where you used to be"
51,You are going to overcome what you’re currently struggling with. Be patient. You’re going to be okay
52,Learning to ignore things is one of the great paths to inner peace
53,"Whatever happens around you, don’t take it personally…Nothing other people do is because of you. It is because of themselves"
54,"You don’t always need a plan. Sometimes you just need to breathe, trust, let go, and see what happens"
55,Your anxiety is lying to you. You are loved and are going to be okay.
56,You’re a fighter. Look at everything you’ve overcome. Don’t give up now
57,Choose to be optimistic. It feels better
58,"Close your eyes and imagine the best version of you possible, that’s who you really are. Let go of any part of you that doesn’t believe it"
59,Feel the feeling but don’t become the emotion. Witness it. Allow it. Release it
60,"You can’t go back and change the beginning, but you can start where you are and change the ending"
61,"When thinking about the future, remember this: no amount of guilt can change the past and no amount of anxiety can change the future."
62,Don’t be pushed around by the fears in your mind. Be led by the dreams in your heart.
63,Don’t forget that you’re human. It’s okay if you have a meltdown. Just don’t unpack and live there. Cry it out. Then refocus on where your headed
64,"Every time you are tempted to react in the same old way, ask if you want to be a prisoner of the past or a pioneer of the future"
65,You don’t have to control your thoughts. You just have to stop letting them control you
66,Nothing diminishes anxiety faster than action.
67,"P.S. You’re not going to die. Here’s the white-hot truth: if you go bankrupt, you’ll still be okay. If you lose the gig, the lover, the house, you’ll still be okay. If you sing off-key, get beat by the competition, have your heart shattered, get fired…it’s not going to kill you. Ask anyone who’s been through it"
68,You wouldn’t worry so much about what others think of you if you realized how seldom they do
69,You can’t always control what goes on outside. But you can always control what goes on inside
70,Do not let your difficulties fill you with anxiety; after all it is only in the darkest nights that stars shine more brightly
71,"It’s OKAY to be scared. Being scared means you’re about to do something really, really brave"
72,"Anxiety was born in the very same moment as mankind. And since we will never be able to master it, we will have to learn to live with it—just as we have learned to live with storms"
73,"I promise you nothing is as chaotic as it seems. Nothing is worth diminishing your health. Nothing is worth poisoning yourself into stress, anxiety, and fear"
74,Present fears are less than horrible imaginings
75,"Hey you, keep living. It won’t always be this overwhelming"
76,Sometimes the most important thing in a whole day is the rest taken between two deep breaths
77,"When I look back on all these worries, I remember the story of the old man who said on his deathbed that he had had a lot of trouble in his life, most of which had never happened"
78,"If you treat every situation as a life and death matter, you’ll die a lot of times."
79,Every tomorrow has two handles. We can take hold of it with the handle of anxiety or the handle of faith
80,"Rule number one is, don’t sweat the small stuff. Rule number two is, it’s all small stuff."
81,"Worry a little bit every day and in a lifetime you will lose a couple of years. If something is wrong, fix it if you can. But train yourself not to worry. Worry never fixes anything"
82,What people in the world think of you is really none of your business
83,All life is an experiment. The more experiments you make the better.
84,"When you change the way you look at things, the things you look at change."
85,"At the end of the day, tell yourself gently: ‘I love you, you did the best you could today, and even if you didn’t accomplish all you had planned, I love you anyway"
86,Life is 10% of what you experience and 90% of how you respond to it.
87,"Take chances, make mistakes. That’s how you grow. Pain nourishes your courage. You have to fail in order to practice being brave"
88,"If you don’t like something, change it. If you can’t change it, change your attitude"
89,"n order to move on, you must understand why you felt what you did and why you no longer need to feel it"
90,Sometimes letting things go is an act of far greater power than defending or hanging on.
91,"When I let go of what I am, I become what I want to be"
92,"Worrying is like a rocking chair, it gives you something to do, but it gets you nowhere"
93,"Fear exists only in your mind, not in nature. Detach yourself, be strong, trust life, and become life"
94,No amount of anxiety can change the future. No amount of regret can change the past
95,"The secret of health for both mind and body is not to mourn for the past, not to worry about the future, not to anticipate the future, but to live the present moment wisely and earnestly"
96,Don’t worry about achieving. Don’t worry about perfection. Just be there each moment as best you can
97,"Worrying is carrying tomorrow's load with today's strength- carrying two days at once. It is moving into tomorrow ahead of time. Worrying doesn't empty tomorrow of its sorrow, it empties today of its strength."
98,"If you aren’t in the moment, you are either looking forward to uncertainty or back to pain and regret"
99,"Anxiety does not empty tomorrow of its sorrows, but only empties today of its strength"
100,How much pain have cost us the evils which have never happened
101,"Just when the caterpillar thought the world was ending, he turned into a butterfly"
102,You don’t have to control your thoughts; you just have to stop letting them control you
103,"If we wanted to change the situation, we first had to change ourselves. And to change ourselves effectively, we first had to change our perceptions"
104,A positive attitude gives you power over your circumstances instead of your circumstances having power over you
105,"It’s not stress that kills us, it is our reaction to it"
106,"Some days, doing ‘the best we can’ may still fall short of what we would like to be able to do, but life isn’t perfect—on any front—and doing what we can with what we have is the most we should expect of ourselves or anyone else"
107,"Surrender to what is, let go of what was, and have faith in what will be."
108,Whatever happens to you belongs to you. Make it yours. Feed it to yourself even if it feels impossible to swallow. Let it nurture you because it will
109,The universe doesn’t allow perfection
110,Nothing is permanent in this wicked world—not even our troubles
111,"For us, there is only the trying. The rest is not our business"
112,"I tell you the past is a bucket of ashes, so live not in your yesterdays, not just for tomorrow, but in the here and now."
113,What lies behind us and what lies before us are tiny matters compared to what lies within us
114,"You can’t stop the waves, but you can learn to surf"
115,"You cannot make yourself feel something you do not feel, but you can make yourself do right in spite of your feelings"
116,The greatest mistake we make is living in constant fear that we will make one
117,"You can’t go back and make a new start, but you can start right now and make a brand new ending"
